profile;side;setting_time
HO8310;0021;70
HO8310;0022;0
HO8320;0020;0
HO8320;0021;0
HO8320;0022;0
HO8510;0021;100
HO8510;0022;100
HO8515;0021;110
HO8515;0022;60
HO8520;0020;0
HO8520;0021;0
HO8520;0022;0
HO8521;0020;0
HO8521;0021;0
HO8521;0022;70
HO8530;0020;110
HO8530;0021;60
HO8530;0022;60
HO8540;0021;90
HO8540;0022;55
HO8570;0021;100
HO8570;0022;120
HO8580;0022;100
HO8590;0021;20
HO8800;0021;0
HO8800;0022;60
HO9020;0020;0
HO9020;0021;0
HO9020;0022;0
HO9021;0020;0
HO9021;0021;0
HO9021;0022;70
HO9030;0021;70
HO9030;0022;0
HO9050;0021;120
HO9050;0022;50
HO9100;0021;70
HO9100;0022;0
HO9110;0021;70
HO9110;0022;110
HO9120;0021;70
HO9120;0022;70
HO9310;0020;0
HO9310;0021;0
HO9310;0022;0
HO9320;0020;70
HO9320;0021;0
HO9320;0022;70
HO9330;0021;90
HO9330;0022;70
HO9340;0021;90
HO9340;0022;70
HO9800;0021;80
HO9800;0022;30
HO9810;0021;90
HO9810;0022;90
HO9820;0022;90
HO9850;0021;45
HO9850;0022;60
HP1100;0021;90
HP1100;0022;70
HP1110;0021;80
HP1110;0022;70
HP1220;0021;0
HP1220;0022;50
HP1230;0021;60
HP1230;0022;50
HP1240;0021;90
HP1240;0022;50
HP1400;0021;60
HP1400;0022;40
HP1410;0021;60
HP1410;0022;40
HP1420;0021;90
HP1420;0022;60
HP1540;0021;90
HP1540;0022;0
HP1550;0021;150
HP1550;0022;110
HP1560;0021;70
HP1560;0022;110
HP1710;0021;100
HP1710;0022;90
HP1713;0021;90
HP1713;0022;130
HP1720;0020;0
HP1720;0021;70
HP1720;0022;0
HP1730;0020;0
HP1730;0021;70
HP1730;0022;70
HP1820;0021;0
HP1820;0022;70
HP1830;0021;100
HP1830;0022;70
HP3000;0021;100
HP3000;0022;60
HP3010;0021;0
HP3010;0022;0
HP3020;0021;0
HP3020;0022;50
HP3040;0021;60
HP3040;0022;60
HP3400;0021;120
HP3400;0022;40
HP3420;0021;100
HP3420;0022;130
HP3600;0021;70
HP3600;0022;60
HP8550;0021;60
HP8550;0022;110
HP8560;0021;70
HP8560;0022;55
HP8920;0021;60
HP8920;0022;70
