workplace;speed_m_per_min;count_by_shift
WLO-U001;14.0;950.0
WLO-U002;8.0;420.0
WLO-U003;12.0;850.0
WLO-U004;8.0;400.0
WLO-U005;10.0;400.0
WLO-U006;10.0;580.0
WLO-U007;8.0;400.0
WLO-U008;0.0;900.0
WLO-U009;12.0;800.0
WLO-U010;14.0;950.0
WLO-U011;12.0;800.0
WLO-U012;12.0;850.0
WLO-U013;12.0;650.0
WLO-U014;14.0;300.0
